codigo_pv,distrito,concelho,freguesia,regiao_agraria,nut_iii,hayford_x,hayford_y,altitude_m,tipo_estrutura,altura_plataforma_m,fonte_energia,obstrucao_visibilidade,n_visadas,area_ardida_ha,risco_muito_alto_pct,risco_alto_pct,risco_medio_pct,risco_baixo_pct,risco_muito_baixo_pct,rede,lat,lon,coord_source,osm_name,osm_height,osm_height_viewpoint,osm_ele,osm_material,osm_ownership,osm_start_date,osm_website,osm_tower_construction
36-09,Santarém,Mação,Mação,Beira Interior,Pinhal Interior -Sul,213612,293977,641,Metálica,9.2,Electricidade,Reduzida,10,223283,18.7,67.5,7.6,3.9,2.3,Primária,39.613822,-7.9745836,OSM,Posto de Vigia Bando dos Santos,12,9.2,641,metal,DRABI,1974,http://scrif.igeo.pt/ASP/pesque.asp?cod=102,lattice
36-10,Santarém,Mação,Envedos,Beira Interior,Pinhal Interior -Sul,226395,289174,432,Metálica,4.3,Painel Solar,Reduzida,0,218155,16.6,72.1,5.1,2.2,3.9,Primária,39.5703073,-7.8258761,OSM,Posto de Vigia Castelo Velho,7,4.0,434,metal,DRABI,1992,http://scrif.igeo.pt/ASP/pesque.asp?cod=94,lattice
53-01,Santarém,Coruche,Coruche,Ribatejo e Oeste,Lezíria do Tejo,167307,228170,104,Alvenaria,31,Painel Solar,Nula,61,43649,0,14.7,11.7,9.2,64,Primária,39.0206652,-8.5106047,Hayford_converted,,,,,,,,,
53-02,Santarém,Coruche,Fajarda,Ribatejo e Oeste,Lezíria do Tejo,155283,222456,75,Metálica,10.1,Painel Solar,Reduzida,37,32272,0,9.8,15.8,11,62.7,Primária,38.9686037,-8.649121,OSM,Posto de Vigia Cascavel,12,10.0,81,metal,DRARO,1992,http://scrif.igeo.pt/ASP/pesque.asp?cod=172,lattice
53-03,Santarém,Coruche,Branca,Ribatejo e Oeste,Lezíria do Tejo,166506,208188,133,Metálica,10.4,Painel Solar,Média,16,17162,0,6.1,2.3,6.4,83.4,Primária,38.8406489,-8.5189065,OSM,Posto de Vigia São Torcato,12,10.0,134,metal,DRARO,1991,http://scrif.igeo.pt/ASP/pesque.asp?cod=173,lattice
53-04,Santarém,Benavente,Samora Correia,Ribatejo e Oeste,Lezíria do Tejo,142101,206371,45,Metálica,10.2,Painel Solar,Reduzida,419,20024,0,2.6,14.1,16.9,64.4,Primária,38.822966,-8.7998857,OSM,Posto de Vigia Cabeço da Aranha,10,8.0,46,metal,DRARO,1991,http://scrif.igeo.pt/ASP/pesque.asp?cod=174,lattice
55-01,Santarém,Rio Maior,Rio Maior,Ribatejo e Oeste,Lezíria do Tejo,128965,267570,321,Metálica,6,Electricidade,Reduzida,89,41384,0,15.7,28.6,44.2,11.5,Primária,39.3732293,-8.9570967,OSM,Posto de Vigia Conde,8,6.0,323,metal,DRARO,1991,http://scrif.igeo.pt/ASP/pesque.asp?cod=181,lattice
55-02,Santarém,Almeirim,Almeirim,Ribatejo e Oeste,Lezíria do Tejo,160789,241680,170,Metálica,12,Painel Solar,Reduzida,130,23908,0,21.2,18.7,14.5,45.6,Primária,39.1416804,-8.5865074,OSM,Posto de Vigia Almeirim,14,12.0,170,metal,DRARO,1991,http://scrif.igeo.pt/ASP/pesque.asp?cod=180,lattice
55-03,Santarém,Chamusca,Ulme,Ribatejo e Oeste,Lezíria do Tejo,175467,263133,196,Metálica,10,Painel Solar,Reduzida,43,61229,0.5,42.3,21.1,9.6,26.6,Primária,39.3357331,-8.4175634,OSM,Posto de Vigia Figueiras,12,10.0,198,metal,DRARO,,http://scrif.igeo.pt/ASP/pesque.asp?cod=182,lattice
56-01,Santarém,Ourém,Alburitel,Ribatejo e Oeste,Médio Tejo,166586,297412,268,Alvenaria,14,Electricidade,Média,107,74354,5.1,43.3,23.9,26.2,1.4,Primária,39.6442579,-8.5222731,OSM,Posto de Vigia Alburitel,10,8.0,254,,DRARO,,http://scrif.igeo.pt/ASP/pesque.asp?cod=184,
56-02,Santarém,Sardoal,Alcaravela,Ribatejo e Oeste,Médio Tejo,200205,287636,335,Metálica,9,Painel Solar,Reduzida,89,147141,12.1,63,13.3,6.1,5.5,Primária,39.5568623,-8.1306273,OSM,Posto de Vigia Alcaravela,10,8.0,334,metal,DRARO,2001,http://scrif.igeo.pt/ASP/pesque.asp?cod=185,lattice
56-03,Santarém,Ourém,Matas,Ribatejo e Oeste,Médio Tejo,157132,307502,373,Metálica,12,Painel Solar,Média,40,43660,3.9,34.3,26.3,34.3,1.2,Primária,39.7346716,-8.6328943,OSM,Posto de Vigia Cabeço de Óbidos,10,8.0,374,metal,DRARO,,http://scrif.igeo.pt/ASP/pesque.asp?cod=186,lattice
56-04,Santarém,Tomar,Asseiceira,Ribatejo e Oeste,Médio Tejo,179077,281811,205,Metálica,12,Painel Solar,Nula,1,94417,3.4,54.6,22.2,11.6,8.2,Primária,39.5040779,-8.3762796,OSM,Posto de Vigia Chorafome,14,12.0,207,metal,DRARO,1992,http://scrif.igeo.pt/ASP/pesque.asp?cod=187,lattice
56-05,Santarém,Abrantes,Aldeia do Mato,Ribatejo e Oeste,Médio Tejo,186239,284739,282,Alvenaria,12,Painel Solar,Elevada,169,117733,6.5,59.2,19.3,8.2,6.8,Primária,39.5306554,-8.2930571,OSM,Posto de Vigia Medroa,12,10.0,284,masonry,DRARO,,http://scrif.igeo.pt/ASP/pesque.asp?cod=188,freestanding
56-06,Santarém,Ferreira do Zêzere,Ferreira do Zêzere,Ribatejo e Oeste,Médio Tejo,190352,303621,423,Metálica,8,Painel Solar,Reduzida,26,148539,18.8,52.9,10.2,17.8,0.3,Primária,39.7007849,-8.2454198,OSM,Posto de Vigia Pombeira,6,4.0,428,metal,DRARO,,http://scrif.igeo.pt/ASP/pesque.asp?cod=189,lattice
56-07,Santarém,Abrantes,Bemposta,Ribatejo e Oeste,Médio Tejo,192362,263752,205,Metálica,10,Painel Solar,Reduzida,87,87561,1.5,49.3,12.4,9,27.8,Primária,39.3417132,-8.221584,OSM,Posto de Vigia Sanheira,12,10.0,206,metal,DRARO,1992,http://scrif.igeo.pt/ASP/pesque.asp?cod=190,lattice
56-08,Santarém,Tomar,Serra,Ribatejo e Oeste,Médio Tejo,185606,292423,314,Metálica,20,Electricidade,Média,98,131075,10.7,58.8,19,9.9,1.6,Primária,39.5997966,-8.3005954,OSM,Posto de Vigia Serra de Tomar,20,16.0,319,metal,DRARO,1997,http://scrif.igeo.pt/ASP/pesque.asp?cod=191,lattice
64-01,Santarém,Abrantes,S. Facundo,Alentejo,Médio Tejo,210496,266563,286,Metálica,10,Painel Solar,Média,14,106064,4.5,59.3,6.7,8.2,21.3,Primária,39.3669786,-8.0112604,OSM,Posto de Vigia Vale de Água,12,10.0,284,metal,DRAAL,1992,http://scrif.igeo.pt/ASP/pesque.asp?cod=208,lattice
P-03,Santarém,Alcanena,Minde,Ribatejo e Oeste,Médio Tejo,156610,285376,672,Metálica,4,Electricidade,Elevada,118,48111,0.2,37.7,28.7,29.8,3.5,Secundária,39.5354457,-8.6378068,Hayford_converted,,,,,,,,,
57-01,Setúbal,Palmela,Palmela,Ribatejo e Oeste,Península de Setúbal,129736,174358,389,Madeira,3.4,Electricidade,Média,112,9649,0,0,7.2,14.2,75.5,Primária,38.5336006,-8.9387438,OSM,Posto de Vigia São Luís,6,4.0,392,wood,AFLOPS,2001,http://scrif.igeo.pt/ASP/pesque.asp?cod=193,lattice
57-02,Setúbal,Almada,Charneca da Caparica,Ribatejo e Oeste,Península de Setúbal,108243,178096,110,Metálica,4.3,Painel Solar,Reduzida,91,7152,0,0.2,16.5,26,52.9,Primária,38.5654745,-9.1858855,Hayford_converted,,,,,,,,,
57-03,Setúbal,Sesimbra,Sesimbra (Castelo),Ribatejo e Oeste,Península de Setúbal,113327,174539,31,Alvenaria,6.7,Electricidade,Média,59,6652,0,0.1,14,22.2,59.6,Primária,38.5340326,-9.1270325,OSM,Posto de Vigia Monte Apostiça,8,6.0,30,masonry,HD. APOSTIÇA,1984,http://scrif.igeo.pt/ASP/pesque.asp?cod=195,freestanding
63-01,Setúbal,Santiago do Cacém,Santiago do Cacém,Alentejo,Alentejo Litoral,150552,112845,282,Metálica,8.2,Painel Solar,Reduzida,4,8846,0,2.6,1.5,26.3,69.6,Primária,37.9810376,-8.6958757,OSM,Posto de Vigia Convento,10,8.0,282,metal,DRAAL,1990,http://scrif.igeo.pt/ASP/pesque.asp?cod=200,lattice
63-02,Setúbal,Santiago do Cacém,Cercal,Alentejo,Alentejo Litoral,148951,91659,330,Metálica,8.1,Painel Solar,Elevada,12,25447,1.2,13.2,4.3,33.4,48,Primária,37.7900862,-8.7126096,OSM,Posto de Vigia Cercal,10,8.0,335,metal,DRAAL,1990,http://scrif.igeo.pt/ASP/pesque.asp?cod=201,lattice
70-01,Setúbal,Alcácer do Sal,Alcácer do Sal (Santiago),Alentejo,Alentejo Litoral,171204,151853,132,Metálica,6.4,Painel Solar e Bateria,Reduzida,4,15494,0,1.6,0.9,2.5,93.6,Primária,38.340977,-8.468036,OSM,Posto de Vigia Maceira,8,6.0,118,metal,DRAAL,1990,http://scrif.igeo.pt/ASP/pesque.asp?cod=218,lattice
70-02,Setúbal,Grândola,Melides,Alentejo,Alentejo Litoral,155090,133718,325,Metálica,8.1,Electricidade,Reduzida,11,11899,0,2.3,1.2,10.3,84.3,Primária,38.169291,-8.6456593,OSM,Posto de Vigia da Atalaia,10,8.0,326,metal,DRAAL,1990,http://scrif.igeo.pt/ASP/pesque.asp?cod=219,lattice
70-03,Setúbal,Grândola,Carvalhal,Alentejo,Alentejo Litoral,146169,144395,80,Madeira,7,Electricidade,Nula,2,12370,0,2.5,1.3,10.3,83.9,Primária,38.2649635,-8.7482024,OSM,Posto de Vigia Pinheiro da Cruz,9,6.0,82,masonry,HD. COMPORTA,1994,http://scrif.igeo.pt/ASP/pesque.asp?cod=220,freestanding
70-04,Setúbal,Grândola,Grândola,Alentejo,Alentejo Litoral,168183,126626,194,Alvenaria,5.2,Painel Solar,Média,0,12424,0,2,1.1,11.6,85.4,Primária,38.105939,-8.4958677,OSM,Posto de Vigia Caveira,10,8.0,179,masonry,PORTUCEL,1984,http://scrif.igeo.pt/ASP/pesque.asp?cod=289,freestanding
0-72,Viana do Castelo,Ponte da Barca,Lindoso,Entre Douro e Minho,Minho -Lima,194807,538256,1358,Alvenaria,6.8,Electricidade,Média,0,43246,33.2,43.5,17.5,5.7,0.1,Primária,41.8137156,-8.1956182,Hayford_converted,,,,,,,,,
25-01,Viana do Castelo,Valença,Taião,Entre Douro e Minho,Minho -Lima,164829,557089,777,Alvenaria,3,Painel Solar e Bateria,Elevada,29,22337,22.6,42.2,22.2,12.8,0.2,Primária,41.9825575,-8.5575746,OSM,Posto de Vigia Boalhosa,6,3.0,782,masonry,DRAEDM,1997,http://scrif.igeo.pt/ASP/pesque.asp?cod=52,freestanding
25-02,Viana do Castelo,Monção,Riba de Mouro,Entre Douro e Minho,Minho -Lima,185925,559597,1112,Alvenaria,6.4,Painel Solar e Bateria,Média,39,24972,29,45.2,18.3,7.5,0.1,Primária,42.005741,-8.3030205,Hayford_converted,,,,,,,,,
25-03,Viana do Castelo,Melgaço,Cubalhão,Entre Douro e Minho,Minho -Lima,193001,566347,1197,Metálica,5,Painel Solar e Bateria,Média,16,20373,33.1,47.5,14.6,4.7,0.1,Primária,42.0666087,-8.2176835,OSM,Posto de Vigia Cabeça de Pito,9,6.0,1161,metal,DRAEDM,,http://scrif.igeo.pt/ASP/pesque.asp?cod=54,lattice
25-04,Viana do Castelo,Paredes de Coura,Bico,Entre Douro e Minho,Minho -Lima,168028,544292,882,Alvenaria,6.8,Electricidade,Elevada,30,28722,22.2,40.8,24.2,12.2,0.5,Primária,41.8674285,-8.5182171,Hayford_converted,,,,,,,,,
25-05,Viana do Castelo,Vila Nova de Cerveira,Loivo,Entre Douro e Minho,Minho -Lima,151764,550412,635,Alvenaria,7,Painel Solar e Bateria,Média,18,20488,21,38.3,24.3,15.7,0.6,Primária,41.921694,-8.7146167,OSM,Posto de Vigia Pena,9,7.0,637,masonry,DRAEDM,,http://scrif.igeo.pt/ASP/pesque.asp?cod=56,freestanding
25-06,Viana do Castelo,Caminha,Dem,Entre Douro e Minho,Minho -Lima,148857,540360,723,Alvenaria,9.5,Electricidade,Média,9,21917,19.3,36.6,27.2,16.1,0.7,Primária,41.8310226,-8.7487766,Hayford_converted,,,,,,,,,
28,Viana do Castelo,Viana do Castelo,Montaria,Entre Douro e Minho,Minho -Lima,153892,536891,797,Alvenaria,14,Electricidade,Média,118,24187,18.9,37.4,27.7,15.2,0.7,Primária,41.800101,-8.6878988,Hayford_converted,,,,,,,,,
28-01,Viana do Castelo,Ponte de Lima,Rebordões (Santaia),Entre Douro e Minho,Minho -Lima,161264,527247,560,Alvenaria,7,Painel Solar e Bateria,Reduzida,108,31736,19.8,38.6,26.6,14.4,0.7,Primária,41.713688,-8.5986183,OSM,Posto de Vigia Nora,10,7.0,562,masonry,DRAEDM,,http://scrif.igeo.pt/ASP/pesque.asp?cod=62,freestanding
28-03,Viana do Castelo,Arcos de Valdevez,Soajo,Entre Douro e Minho,Minho -Lima,184139,543974,821,Alvenaria,6.6,Painel Solar e Bateria,Média,125,35085,27.5,42.3,21.1,9,0.1,Primária,41.7288344,-8.4592789,OSM,Posto de Vigia Oural,6,4.8,722,metal,DRAEDM,,http://scrif.igeo.pt/ASP/pesque.asp?cod=64,lattice
0-83,Vila Real,Montalegre,Cabril,Trás-os-Montes,Alto Trás-os-Montes,209895,527084,711,Metálica,8,Painel Solar e Bateria,Média,0,53030,43.9,42.9,11.7,1.5,0,Primária,41.7130872,-8.0142238,Hayford_converted,,,,,,,,,
0-93,Vila Real,Montalegre,Covelães,Trás-os-Montes,Alto Trás-os-Montes,217583,539629,1240,Metálica,8,Painel Solar e Bateria,Reduzida,0,46776,51.2,40.8,7.3,0.7,0,Primária,41.8259091,-7.9212166,OSM,Posto de Vigia Mourela,10,8.0,1256,metal,PNPG,1998,http://scrif.igeo.pt/ASP/pesque.asp?cod=245,lattice
11-01,Vila Real,Montalegre,Viade de Baixo,Trás-os-Montes,Alto Trás-os-Montes,223704,524983,1277,Alvenaria,5,Painel Solar e Bateria,Reduzida,154,53282,54,40,5.8,0.3,0,Primária,41.6938807,-7.8483809,Hayford_converted,,,,,,,,,
11-02,Vila Real,Boticas,Bobadela,Trás-os-Montes,Alto Trás-os-Montes,240430,529373,1153,Alvenaria,5,Electricidade,Média,253,48559,59,37.4,3.6,0,0,Primária,41.7327318,-7.6471712,Hayford_converted,,,,,,,,,
11-03,Vila Real,Ribeira de Pena,Canedo,Entre Douro e Minho,Tâmega,231570,519636,1071,Metálica,6,Painel Solar e Bateria,Reduzida,131,55893,55.4,41.4,3.2,0,0,Primária,41.645489,-7.7541948,OSM,Posto de Vigia Lasanho,8,6.0,1075,metal,DRATM,1984,http://scrif.igeo.pt/ASP/pesque.asp?cod=7,lattice
11-04,Vila Real,Boticas,Covas do Barroso,Trás-os-Montes,Alto Trás-os-Montes,226921,514872,819,Alvenaria,6,Painel Solar e Bateria,Média,37,55934,53.1,42.2,4.6,0.1,0,Primária,41.6027251,-7.8101622,OSM,Posto de Vigia Alto dos Púcaros,5,2.0,750,masonry,DRATM,1992,http://scrif.igeo.pt/ASP/pesque.asp?cod=8,freestanding
11-05,Vila Real,Montalegre,Montalegre,Trás-os-Montes,Alto Trás-os-Montes,226054,536194,1276,Metálica,6,Electricidade,Reduzida,165,49547,57.8,37.3,4.8,0.1,0,Primária,41.7949325,-7.8197061,OSM,Posto de Vigia Ourigo,8,6.0,1279,masonry,DRATM,1984,http://scrif.igeo.pt/ASP/pesque.asp?cod=10,freestanding
11-06,Vila Real,Montalegre,Salto,Trás-os-Montes,Alto Trás-os-Montes,217931,517206,1111,Metálica,8,Painel Solar e Bateria,Média,75,55681,48.6,42.2,8.5,0.7,0,Primária,41.6240418,-7.9179691,OSM,Posto de Vigia Alto da Corneta,10,8.0,1111,metal,DRATM,1988,http://scrif.igeo.pt/ASP/pesque.asp?cod=9,lattice
13-01,Vila Real,Chaves,Travancas,Trás-os-Montes,Alto Trás-os-Montes,269298,541899,960,Alvenaria,6.3,Painel Solar e Bateria,Média,124,29080,46,48.3,5.6,0,0,Primária,41.8435103,-7.2987589,OSM,Posto de Vigia Argemil,6,4.0,959,masonry,DRATM,1961,http://scrif.igeo.pt/ASP/pesque.asp?cod=16,freestanding
13-02,Vila Real,Chaves,Vilar de Nantes,Trás-os-Montes,Alto Trás-os-Montes,257875,525587,919,Metálica,7.5,Electricidade,Reduzida,168,49644,54.2,41.1,4.7,0,0,Primária,41.6975707,-7.43787,Hayford_converted,,,,,,,,,
13-03,Vila Real,Valpaços,S. Pedro de Veiga de Lila,Trás-os-Montes,Alto Trás-os-Montes,266852,500491,1009,Alvenaria,5,Electricidade,Reduzida,271,58220,50,49.8,0.1,0,0,Primária,41.4709075,-7.3328665,OSM,Posto de Vigia Santa Comba,6,4.0,1014,masonry,DRATM,1961,http://scrif.igeo.pt/ASP/pesque.asp?cod=18,freestanding
13-04,Vila Real,Valpaços,Vilarandelo,Trás-os-Montes,Alto Trás-os-Montes,268171,523879,669,Metálica,6.7,Painel Solar e Bateria,Nula,159,47914,52.2,44.3,3.5,0,0,Primária,41.6813803,-7.3143904,Hayford_converted,,,,,,,,,
18-01,Vila Real,Vila Pouca de Aguiar,Pensalvos,Trás-os-Montes,Alto Trás-os-Montes,237073,508972,1198,Alvenaria,5.5,Electricidade,Reduzida,210,59133,52.3,45.2,2.5,0,0,Primária,41.5492202,-7.6887813,Hayford_converted,,,,,,,,,
18-02,Vila Real,Vila Pouca de Aguiar,Telões,Trás-os-Montes,Alto Trás-os-Montes,240677,494968,1130,Alvenaria,6,Painel Solar e Bateria,Reduzida,189,66168,55.1,44,0.9,0,0,Primária,41.422932,-7.6464613,OSM,Posto de Vigia Cabreiro,7,5.0,1128,masonry,DRATM,1966,http://scrif.igeo.pt/ASP/pesque.asp?cod=31,freestanding
18-03,Vila Real,Vila Pouca de Aguiar,Tresminas,Trás-os-Montes,Alto Trás-os-Montes,250643,506476,1051,Metálica,8.9,Painel Solar e Bateria,Média,165,60765,54.8,43.7,1.5,0,0,Primária,41.5260661,-7.5261704,OSM,Posto de Vigia Sevivas,8,6.0,1049,metal,DRATM,1987,http://scrif.igeo.pt/ASP/pesque.asp?cod=32,lattice
18-04,Vila Real,Murça,Carva,Trás-os-Montes,Alto Trás-os-Montes,247779,492367,1030,Alvenaria,6.6,Painel Solar e Bateria,Reduzida,209,63468,58.2,41.3,0.5,0,0,Primária,41.3991535,-7.5617829,Hayford_converted,,,,,,,,,
18-05,Vila Real,Murça,Valongo de Milhais,Trás-os-Montes,Alto Trás-os-Montes,256606,496028,732,Metálica,5,Painel Solar e Bateria,Nula,226,60531,55.7,44.1,0.2,0,0,Primária,41.4315625,-7.4558957,OSM,Posto de Vigia Murça,6,4.0,734,metal,DRATM,1994,http://scrif.igeo.pt/ASP/pesque.asp?cod=34,lattice
19-01,Vila Real,Vila Real,Abaças,Trás-os-Montes,Douro,238594,474034,720,Metálica,4,Painel Solar e Bateria,Nula,442,69682,60.7,38.1,1.2,0,0,Primária,41.2346137,-7.672759,OSM,Posto de Vigia Senhora da Guia,4,2.0,728,metal,DRATM,1984,http://scrif.igeo.pt/ASP/pesque.asp?cod=35,lattice
19-02,Vila Real,Vila Real,S. Tomédo Castelo,Trás-os-Montes,Douro,237104,489578,813,Alvenaria,4,Electricidade,Reduzida,233,68745,56,42.9,1.1,0,0,Primária,41.3746235,-7.6895857,OSM,Posto de Vigia São Bento,4,1.5,785,masonry,DRATM,1991,http://scrif.igeo.pt/ASP/pesque.asp?cod=36,freestanding
19-03,Vila Real,Sabrosa,Paços,Trás-os-Montes,Douro,244682,470815,860,Metálica,8,Painel Solar e Bateria,Média,91,70253,62.8,36.3,0.9,0,0,Primária,41.205252,-7.6005001,OSM,Posto de Vigia São Domingos,10,8.0,862,metal,DRATM,1991,http://scrif.igeo.pt/ASP/pesque.asp?cod=37,freestanding
19-04,Vila Real,Vila Real,Campeã,Trás-os-Montes,Douro,219866,477629,1340,Alvenaria,8,Electricidade,Média,151,64749,51.6,40.8,7.6,0,0,Primária,41.2676123,-7.8959929,OSM,Posto de Vigia Marão,7,5.0,1349,masonry,DRATM,1993,http://scrif.igeo.pt/ASP/pesque.asp?cod=38,freestanding
19-05,Vila Real,Alijó,Alijó,Trás-os-Montes,Douro,258853,481958,810,Metálica,4,Painel Solar e Bateria,Média,203,61231,57.7,42,0.3,0,0,Primária,41.3092145,-7.4363992,OSM,Posto de Vigia Burneira,5,3.0,815,metal,DRATM,1993,http://scrif.igeo.pt/ASP/pesque.asp?cod=39,lattice
27-01,Vila Real,Ribeira de Pena,Ribeira de Pena (Salvador),Entre Douro e Minho,Tâmega,222732,502901,782,Metálica,6,Electricidade,Média,45,59393,46.7,46.5,6.6,0.2,0,Primária,41.4950369,-7.8609505,OSM,Posto de Vigia Calvo,8,6.0,785,metal,DRAEDM,,http://scrif.igeo.pt/ASP/pesque.asp?cod=57,lattice
27-02,Vila Real,Mondim de Basto,Vilar de Ferreiros,Entre Douro e Minho,Tâmega,218637,494397,914,Alvenaria,6,Painel Solar e Bateria,Média,40,62571,45.9,45.6,8.2,0.3,0,Primária,41.4165325,-7.9156505,OSM,Posto de Vigia Senhora da Graça,20,18.0,985,,DRAEDM,,http://scrif.igeo.pt/ASP/pesque.asp?cod=58,
27-03,Vila Real,Mondim de Basto,Campanhó,Entre Douro e Minho,Tâmega,216683,485581,698,Metálica,5,Painel Solar e Bateria,Média,58,63708,46.9,43.4,9.6,0.1,0,Primária,41.3393059,-7.9338502,OSM,Posto de Vigia Campanhó,11,8.0,704,metal,DRAEDM,1996,http://scrif.igeo.pt/ASP/pesque.asp?cod=59,lattice
27-04,Vila Real,Ribeira de Pena,Santainha,Entre Douro e Minho,Tâmega,227480,509942,701,Alvenaria,5.5,Painel Solar e Bateria,Reduzida,20,58884,50.6,44.6,4.8,0,0,Primária,41.5582427,-7.8040003,OSM,Posto de Vigia Bezerral,12,9.0,705,metal,DRAEDM,1998,http://scrif.igeo.pt/ASP/pesque.asp?cod=60,lattice
14-01,Viseu,Tarouca,Tarouca,Trás-os-Montes,Douro,227490,448905,1089,Alvenaria,6.5,Painel Solar e Bateria,Elevada,239,53991,55.5,41.1,3.4,0,0,Primária,41.0087988,-7.8063228,OSM,Posto de Vigia Santa Helena,7,5.0,1090,masonry,DRATM,1963,http://scrif.igeo.pt/ASP/pesque.asp?cod=20,freestanding
14-02,Viseu,Lamego,Penude,Trás-os-Montes,Tâmega,222680,459083,1120,Metálica,4,Painel Solar e Bateria,Média,196,59373,51.8,42.9,5.3,0,0,Primária,41.1004366,-7.8631851,OSM,Posto de Vigia de Meadas,6,4.0,1111,metal,DRATM,1982,http://scrif.igeo.pt/ASP/pesque.asp?cod=21,lattice
14-03,Viseu,Armamar,Cimbres,Trás-os-Montes,Douro,237974,452910,952,Alvenaria,7,Painel Solar e Bateria,Média,193,68113,63.1,35.6,1.3,0,0,Primária,41.0443803,-7.6815232,OSM,Posto de Vigia Armamar,8,6.0,955,metal,DRATM,1988,http://scrif.igeo.pt/ASP/pesque.asp?cod=22,lattice
14-04,Viseu,Penedono,Penela da Beira,Trás-os-Montes,Douro,258897,452257,990,Alvenaria,8.5,Painel Solar e Bateria,Reduzida,185,84231,67,31.4,1.6,0,0,Primária,41.0372786,-7.4327058,OSM,Posto de Vigia Penela da Beira,7,5.0,985,masonry,DRATM,1972,http://scrif.igeo.pt/ASP/pesque.asp?cod=23,freestanding
21-02,Viseu,Resende,S. Romão de Aregos,Entre Douro e Minho,Tâmega,212599,456017,857,Metálica,8,Painel Solar e Bateria,Média,41,52058,43.9,44.1,12,0.1,0,Primária,41.0731879,-7.9831715,OSM,Posto de Vigia Seculca,10,8.0,891,metal,DRAEDM,,http://scrif.igeo.pt/ASP/pesque.asp?cod=42,lattice
33-04,Viseu,Mangualde,Abrunhosa-a-Velha,Beira Litoral,Dão-Lafões,240236,403116,760,Metálica,6,Painel Solar e Bateria,Reduzida,272,97575,73,21.6,5.5,0,0,Primária,40.595902,-7.6573495,OSM,Posto de Vigia Poisadas,9,6.0,766,metal,DRABI,1985,http://scrif.igeo.pt/ASP/pesque.asp?cod=83,lattice
45-01,Viseu,Viseu,Campo,Beira Litoral,Dão-Lafões,217931,414402,632,Metálica,20,Electricidade,Reduzida,585,58563,54,31.5,11.6,2.9,0,Primária,40.6983529,-7.9209093,OSM,Posto de Vigia Monte de Santa Luzía,23,20.0,638,metal,DRABL,1999,http://scrif.igeo.pt/ASP/pesque.asp?cod=144,lattice
45-02,Viseu,Viseu,Cota,Beira Litoral,Dão-Lafões,224839,426201,880,Alvenaria,7,Painel Solar e Bateria,Média,382,62369,57.8,37.1,5.1,0,0,Primária,40.8044132,-7.8387581,Hayford_converted,,,,,,,,,
45-03,Viseu,Viseu,Cota,Beira Litoral,Dão-Lafões,229670,425605,825,Alvenaria,7,Painel Solar e Bateria,Média,327,68300,62,35,3,0,0,Primária,40.7988864,-7.7815376,Hayford_converted,,,,,,,,,
45-04,Viseu,Satão,Mioma,Beira Litoral,Dão-Lafões,235076,421157,732,Metálica,16,Electricidade,Reduzida,216,79477,67.8,29.2,3,0,0,Primária,40.7586608,-7.7176838,OSM,Posto de Vigia Monte do Facho,18,16.0,738,metal,DRABL,2000,http://scrif.igeo.pt/ASP/pesque.asp?cod=147,lattice
45-05,Viseu,Carregal do Sal,Oliveira do Conde,Beira Litoral,Dão-Lafões,215456,387515,317,Alvenaria,21,Electricidade,Média,107,56978,50.7,28.6,13.5,7.2,0,Primária,40.4563098,-7.9508125,OSM,Posto de Vigia Fiais da Telha,22,16.0,313,,CM CARREGAL DO SAL,1990,http://scrif.igeo.pt/ASP/pesque.asp?cod=148,
46-01,Viseu,Oliveira de Frades,Arca,Beira Litoral,Dão Lafões,190666,405384,723,Alvenaria,7,Electricidade,Média,29,26368,23.3,32.4,18.4,24.5,1.3,Primária,40.6172775,-8.2434145,Hayford_converted,,,,,,,,,
46-02,Viseu,Oliveira de Frades,Arcozelo das Maias,Beira Litoral,Dão Lafões,186914,414811,800,Alvenaria,7,Painel Solar,Média,38,29417,22.5,32.3,20.6,23.3,1.4,Primária,40.7020999,-8.2878934,OSM,Posto de Vigia Cruzes,10,6.4,805,masonry,DRABL,1972,http://scrif.igeo.pt/ASP/pesque.asp?cod=151,freestanding
46-03,Viseu,Vouzela,Ventosa,Beira Litoral,Dão Lafões,200809,413464,880,Alvenaria,7,Electricidade,Média,88,38372,34,32.5,17.4,15.6,0.5,Primária,40.6899404,-8.1235707,OSM,Posto de Vigia Penoita,10,6.4,881,masonry,DRABL,1973,http://scrif.igeo.pt/ASP/pesque.asp?cod=152,freestanding
46-04,Viseu,Tondela,Guardão,Beira Litoral,Dão Lafões,196355,401319,1054,Alvenaria,6,Painel Solar,Média,246,29409,29.5,31.2,16.5,21.8,1,Primária,40.5807166,-8.1761616,Hayford_converted,,,,,,,,,
46-05,Viseu,Mortágua,Sobral,Beira Litoral,Dão Lafões,195068,386256,405,Metálica,12,Painel Solar,Reduzida,24,34064,29.4,28.8,16.4,25.1,0.2,Primária,40.4450881,-8.1913337,OSM,Posto de Vigia Chão Miúdo,15,12.0,405,metal,DRABL,1990,http://scrif.igeo.pt/ASP/pesque.asp?cod=154,lattice
